Execution ID, Initial memory usage, Data memory usage, Computing memory usage, Final memory usage
e0b069ff-4015-49d1-8d27-0b61c182c0a1, 10940, 323520, 216764, 540284
a94f360d-f3c7-4e20-8b37-22c466281c17, 10968, 313676, 216888, 530564
79161fa5-1f0b-4c08-86ca-76d4d4a66449, 10868, 327972, 216684, 544656
d67e633b-e554-45da-acae-5ef33f48c955, 10848, 328516, 213744, 542260
e89dbd18-faf8-428f-8c4f-337a191dbb20, 10776, 323320, 215688, 539008
6584cfad-b23e-432a-9687-848974a3844c, 10796, 262968, 183384, 446352
ad1f197c-bc09-499b-b018-d352d05a9de4, 10812, 255260, 183008, 438268
c8953349-f9cf-402d-a37e-c24814af22f9, 10876, 255728, 182964, 438692
0236fe71-e863-41cf-b5a0-996c3a4c4414, 10760, 251116, 185288, 436404
1440f0aa-2dc8-4517-82e4-a8eaa6b67b7b, 10884, 250992, 183352, 434344
2dc86fb4-0cae-4744-aa89-702207584cd9, 10952, 278820, 185108, 463928
8cf06a32-a858-42b8-8fb3-2f004228bff6, 10900, 278584, 185508, 464092
2113b9c3-d2e9-43ef-8acf-12324d2c50e4, 10876, 276384, 182556, 458940
1d0c2d64-7bd1-47a3-9632-d0a2ab9a964e, 10776, 274684, 185136, 459820
7eec4953-a8d5-4508-b73d-244789e7d468, 10940, 268544, 185632, 454176
8c2f164d-aeaf-4424-a213-6ae74fdd5314, 11036, 295920, 185368, 481288
0c8c4e3d-c5dd-40d8-92b4-8ca7530eaa29, 10848, 296304, 187428, 483732
a66c3480-69e0-4b9b-b3e8-846c665f7de3, 10944, 280368, 184932, 465300
c21eeb31-8f32-4917-b6e9-0d390531086c, 11076, 295528, 183232, 478760
ccf3a905-6c9d-472f-83a6-86130dce2f91, 10700, 294100, 185244, 479344
cd2427b9-3389-40d8-9b63-07a40d740dda, 10744, 304512, 183400, 487912
aa7903ce-060d-48bb-b03c-09c53b3ccb9e, 10640, 298228, 183072, 481300
882a5248-51b2-4480-8679-895ab9a8e3f9, 11160, 295952, 183900, 479852
cae5b619-b926-4058-8206-07f100c0b1ed, 10812, 301472, 187048, 488520
9049c971-c179-49ed-b1dd-18a9f0447c1d, 10940, 306184, 184776, 490960
23584d2c-fa53-4fa5-aa9c-6ebba289e120, 10976, 317704, 184720, 502424
ba112ba0-01d0-4f8f-a219-c9a6da9e739e, 10956, 327112, 183188, 510300
1fd986ff-f961-4a27-915c-65e39505897e, 10892, 309808, 184972, 494780
8d385659-b558-49fc-b983-e808375eba9f, 10932, 302872, 185444, 488316
4b010834-88c6-4994-9105-a95b5b83b654, 10956, 317816, 183384, 501200
e27a4fc5-288a-46bf-8fcf-603ec320ba3c, 10924, 251124, 188108, 439232
e4c06956-266a-49d4-b42d-65259f70a906, 10876, 263340, 187536, 450876
006ba824-5924-47ad-b8af-98edcd6955ec, 10732, 255280, 187964, 443244
4e7b7fd9-4dba-4441-80f3-61f7fd4d6b79, 10668, 253252, 251076, 504328
9db188b4-edbf-4754-8404-3537f9f7d5c2, 10972, 257716, 189496, 447212
6f4df3c5-a87c-4c44-9137-47b53b95a641, 10816, 282776, 281428, 564204
e316e737-4760-4b57-81d8-031cc51fa486, 10732, 274428, 250132, 524560
0ca3ec20-9e75-483b-a890-56bf32b061d5, 10712, 267068, 250568, 517636
c0100c19-8c7d-4d10-815d-4139ac3792c2, 10796, 276800, 252548, 529348
164e49de-f6e7-49f1-8a4a-863869b32b92, 11044, 272964, 281932, 554896
58657e7e-e5b1-4eb6-b7fb-2cca5bd75d1d, 10756, 284108, 187716, 471824
b2db90b9-b021-40f0-89a7-10e06e147e44, 10828, 288260, 187444, 475704
8813740b-94ab-486b-bb95-da734dedbfae, 10916, 290524, 189944, 480468
3b91db76-c4b4-46cc-b526-9067a728f7e7, 10820, 296280, 188584, 484864
178828c5-755d-4c95-9c8b-735175f0b8b7, 10804, 296084, 188944, 485028
cd99dc94-d0e9-4670-ae5c-ac63995592b6, 10684, 319044, 188476, 507520
92bad61c-1072-4e88-8615-6eb218f0af97, 10672, 321020, 191220, 512240
60639499-f11d-43c7-8e33-fdafee5a69bf, 10776, 316344, 187944, 504288
7113c544-c44c-4048-bc0d-c2d58496e4f6, 10724, 318708, 188448, 507156
